resume_text,experience_years,role,skills,education,selected
"Frontend Developer with 6 years experience. Skilled in PyTorch, Django, JavaScript, Pandas, CSS, Machine Learning. Education: MCA.",6,Frontend Developer,"PyTorch, Django, JavaScript, Pandas, CSS, Machine Learning",MCA,1
"Web Developer with 5 years experience. Skilled in Python, AWS, Node.js, PyTorch, Machine Learning. Education: B.Sc Computer Science.",5,Web Developer,"Python, AWS, Node.js, PyTorch, Machine Learning",B.Sc Computer Science,1
"DevOps Engineer with 4 years experience. Skilled in JavaScript, Machine Learning, Python, Django, NumPy, Java, Git, HTML. Education: B.Sc Computer Science.",4,DevOps Engineer,"JavaScript, Machine Learning, Python, Django, NumPy, Java, Git, HTML",B.Sc Computer Science,1
"Web Developer with 7 years experience. Skilled in CSS, Git, Django, Flask, NumPy. Education: M.Tech.",7,Web Developer,"CSS, Git, Django, Flask, NumPy",M.Tech,0
"Backend Developer with 5 years experience. Skilled in Python, AWS, Data Analysis, SQL, JavaScript, Machine Learning. Education: BCA.",5,Backend Developer,"Python, AWS, Data Analysis, SQL, JavaScript, Machine Learning",BCA,1
"Frontend Developer with 7 years experience. Skilled in Data Analysis, Node.js, Python, JavaScript. Education: BCA.",7,Frontend Developer,"Data Analysis, Node.js, Python, JavaScript",BCA,1
"Web Developer with 7 years experience. Skilled in Java, React, Kubernetes, Node.js. Education: MCA.",7,Web Developer,"Java, React, Kubernetes, Node.js",MCA,0
"DevOps Engineer with 4 years experience. Skilled in Python, TensorFlow, Docker, Node.js, Deep Learning, Django, Flask. Education: M.Tech.",4,DevOps Engineer,"Python, TensorFlow, Docker, Node.js, Deep Learning, Django, Flask",M.Tech,1
"Backend Developer with 4 years experience. Skilled in Kubernetes, TensorFlow, Machine Learning, AWS, Git, NumPy, JavaScript, React. Education: MCA.",4,Backend Developer,"Kubernetes, TensorFlow, Machine Learning, AWS, Git, NumPy, JavaScript, React",MCA,1
"Frontend Developer with 3 years experience. Skilled in Machine Learning, JavaScript, Git, Python, Java. Education: B.Sc Computer Science.",3,Frontend Developer,"Machine Learning, JavaScript, Git, Python, Java",B.Sc Computer Science,1
"DevOps Engineer with 7 years experience. Skilled in Data Analysis, HTML, React, Machine Learning, Python, Git, NumPy, Node.js. Education: B.Sc Computer Science.",7,DevOps Engineer,"Data Analysis, HTML, React, Machine Learning, Python, Git, NumPy, Node.js",B.Sc Computer Science,1
"Web Developer with 2 years experience. Skilled in SQL, Java, Node.js, PyTorch, TensorFlow, C++, Pandas, Deep Learning. Education: BCA.",2,Web Developer,"SQL, Java, Node.js, PyTorch, TensorFlow, C++, Pandas, Deep Learning",BCA,0
"Machine Learning Engineer with 1 years experience. Skilled in Pandas, Git, JavaScript, SQL, TensorFlow, AWS, Java. Education: B.Tech.",1,Machine Learning Engineer,"Pandas, Git, JavaScript, SQL, TensorFlow, AWS, Java",B.Tech,1
"Frontend Developer with 4 years experience. Skilled in Docker, PyTorch, Kubernetes, CSS, Django. Education: BCA.",4,Frontend Developer,"Docker, PyTorch, Kubernetes, CSS, Django",BCA,0
"Backend Developer with 0 years experience. Skilled in SQL, AWS, Java, Data Analysis, Machine Learning, C++, Node.js, Flask. Education: B.Tech.",0,Backend Developer,"SQL, AWS, Java, Data Analysis, Machine Learning, C++, Node.js, Flask",B.Tech,0
"Backend Developer with 2 years experience. Skilled in HTML, Kubernetes, Python, Flask, C++, PyTorch, NumPy. Education: MCA.",2,Backend Developer,"HTML, Kubernetes, Python, Flask, C++, PyTorch, NumPy",MCA,1
"Backend Developer with 0 years experience. Skilled in Pandas, Flask, Java, C++, Python, Kubernetes, CSS, NumPy. Education: B.Sc Computer Science.",0,Backend Developer,"Pandas, Flask, Java, C++, Python, Kubernetes, CSS, NumPy",B.Sc Computer Science,0
"Web Developer with 1 years experience. Skilled in SQL, Git, Python, C++, HTML, Django, PyTorch, Docker. Education: B.Sc Computer Science.",1,Web Developer,"SQL, Git, Python, C++, HTML, Django, PyTorch, Docker",B.Sc Computer Science,1
"DevOps Engineer with 6 years experience. Skilled in Docker, Node.js, AWS, Flask, React, C++. Education: B.Sc Computer Science.",6,DevOps Engineer,"Docker, Node.js, AWS, Flask, React, C++",B.Sc Computer Science,0
"Backend Developer with 2 years experience. Skilled in React, JavaScript, AWS, HTML, Data Analysis, C++, Pandas. Education: M.Tech.",2,Backend Developer,"React, JavaScript, AWS, HTML, Data Analysis, C++, Pandas",M.Tech,1
"Frontend Developer with 2 years experience. Skilled in Machine Learning, Deep Learning, React, SQL, TensorFlow, Docker. Education: B.Sc Computer Science.",2,Frontend Developer,"Machine Learning, Deep Learning, React, SQL, TensorFlow, Docker",B.Sc Computer Science,0
"Data Scientist with 0 years experience. Skilled in TensorFlow, Java, Django, Deep Learning, HTML, Data Analysis, AWS. Education: B.Sc Computer Science.",0,Data Scientist,"TensorFlow, Java, Django, Deep Learning, HTML, Data Analysis, AWS",B.Sc Computer Science,0
"Frontend Developer with 7 years experience. Skilled in NumPy, Django, Kubernetes, Docker, TensorFlow, CSS. Education: M.Tech.",7,Frontend Developer,"NumPy, Django, Kubernetes, Docker, TensorFlow, CSS",M.Tech,0
"Machine Learning Engineer with 4 years experience. Skilled in CSS, PyTorch, Machine Learning, HTML, JavaScript, Git, Data Analysis, AWS. Education: MCA.",4,Machine Learning Engineer,"CSS, PyTorch, Machine Learning, HTML, JavaScript, Git, Data Analysis, AWS",MCA,1
"Web Developer with 3 years experience. Skilled in JavaScript, C++, PyTorch, AWS, NumPy. Education: M.Tech.",3,Web Developer,"JavaScript, C++, PyTorch, AWS, NumPy",M.Tech,1
"Frontend Developer with 3 years experience. Skilled in Python, Django, Docker, Git, CSS, PyTorch, Flask. Education: BCA.",3,Frontend Developer,"Python, Django, Docker, Git, CSS, PyTorch, Flask",BCA,1
"Machine Learning Engineer with 7 years experience. Skilled in Docker, TensorFlow, Python, React, HTML, NumPy. Education: B.Tech.",7,Machine Learning Engineer,"Docker, TensorFlow, Python, React, HTML, NumPy",B.Tech,1
"Frontend Developer with 3 years experience. Skilled in AWS, Flask, JavaScript, PyTorch. Education: M.Tech.",3,Frontend Developer,"AWS, Flask, JavaScript, PyTorch",M.Tech,1
"Frontend Developer with 7 years experience. Skilled in SQL, Git, HTML, Node.js. Education: MCA.",7,Frontend Developer,"SQL, Git, HTML, Node.js",MCA,0
"DevOps Engineer with 4 years experience. Skilled in JavaScript, Node.js, PyTorch, Machine Learning, React, Data Analysis, Java. Education: BCA.",4,DevOps Engineer,"JavaScript, Node.js, PyTorch, Machine Learning, React, Data Analysis, Java",BCA,1
"DevOps Engineer with 4 years experience. Skilled in AWS, Kubernetes, Django, Python. Education: MCA.",4,DevOps Engineer,"AWS, Kubernetes, Django, Python",MCA,1
"Web Developer with 6 years experience. Skilled in React, NumPy, AWS, HTML, Java, Python, Data Analysis. Education: MCA.",6,Web Developer,"React, NumPy, AWS, HTML, Java, Python, Data Analysis",MCA,1
"Frontend Developer with 4 years experience. Skilled in TensorFlow, Kubernetes, Django, C++, NumPy. Education: B.Sc Computer Science.",4,Frontend Developer,"TensorFlow, Kubernetes, Django, C++, NumPy",B.Sc Computer Science,0
"Backend Developer with 5 years experience. Skilled in Data Analysis, C++, Python, Deep Learning, Git. Education: BCA.",5,Backend Developer,"Data Analysis, C++, Python, Deep Learning, Git",BCA,1
"Machine Learning Engineer with 5 years experience. Skilled in CSS, Data Analysis, AWS, C++. Education: BCA.",5,Machine Learning Engineer,"CSS, Data Analysis, AWS, C++",BCA,0
"Backend Developer with 4 years experience. Skilled in HTML, Pandas, Data Analysis, PyTorch, Node.js, Java, React. Education: BCA.",4,Backend Developer,"HTML, Pandas, Data Analysis, PyTorch, Node.js, Java, React",BCA,0
"Data Scientist with 3 years experience. Skilled in CSS, HTML, JavaScript, NumPy, Deep Learning. Education: B.Sc Computer Science.",3,Data Scientist,"CSS, HTML, JavaScript, NumPy, Deep Learning",B.Sc Computer Science,1
"Backend Developer with 3 years experience. Skilled in C++, Django, CSS, Java. Education: B.Tech.",3,Backend Developer,"C++, Django, CSS, Java",B.Tech,0
"Machine Learning Engineer with 2 years experience. Skilled in Machine Learning, Pandas, CSS, TensorFlow, Flask. Education: M.Tech.",2,Machine Learning Engineer,"Machine Learning, Pandas, CSS, TensorFlow, Flask",M.Tech,0
"Backend Developer with 5 years experience. Skilled in Git, Node.js, SQL, Python, Deep Learning, HTML. Education: B.Sc Computer Science.",5,Backend Developer,"Git, Node.js, SQL, Python, Deep Learning, HTML",B.Sc Computer Science,1
"Frontend Developer with 4 years experience. Skilled in C++, Python, Java, React, Django, JavaScript, Pandas, Flask. Education: MCA.",4,Frontend Developer,"C++, Python, Java, React, Django, JavaScript, Pandas, Flask",MCA,1
"Backend Developer with 4 years experience. Skilled in Python, Kubernetes, Java, SQL, Node.js, Machine Learning, AWS. Education: B.Sc Computer Science.",4,Backend Developer,"Python, Kubernetes, Java, SQL, Node.js, Machine Learning, AWS",B.Sc Computer Science,1
"Web Developer with 4 years experience. Skilled in Machine Learning, TensorFlow, C++, Java, Deep Learning, Kubernetes, JavaScript. Education: M.Tech.",4,Web Developer,"Machine Learning, TensorFlow, C++, Java, Deep Learning, Kubernetes, JavaScript",M.Tech,1
"Machine Learning Engineer with 4 years experience. Skilled in TensorFlow, C++, Python, Flask. Education: B.Tech.",4,Machine Learning Engineer,"TensorFlow, C++, Python, Flask",B.Tech,1
"Web Developer with 3 years experience. Skilled in Flask, Kubernetes, Node.js, Pandas, JavaScript. Education: B.Sc Computer Science.",3,Web Developer,"Flask, Kubernetes, Node.js, Pandas, JavaScript",B.Sc Computer Science,1
"DevOps Engineer with 2 years experience. Skilled in Deep Learning, CSS, Kubernetes, Git, Node.js, AWS. Education: B.Tech.",2,DevOps Engineer,"Deep Learning, CSS, Kubernetes, Git, Node.js, AWS",B.Tech,0
"Data Scientist with 7 years experience. Skilled in C++, Kubernetes, Machine Learning, Git, PyTorch, SQL. Education: MCA.",7,Data Scientist,"C++, Kubernetes, Machine Learning, Git, PyTorch, SQL",MCA,0
"Backend Developer with 2 years experience. Skilled in React, Kubernetes, Docker, JavaScript, Pandas, Java, CSS. Education: BCA.",2,Backend Developer,"React, Kubernetes, Docker, JavaScript, Pandas, Java, CSS",BCA,1
"Data Scientist with 6 years experience. Skilled in Docker, Python, HTML, Deep Learning, JavaScript, Machine Learning. Education: BCA.",6,Data Scientist,"Docker, Python, HTML, Deep Learning, JavaScript, Machine Learning",BCA,1
"Backend Developer with 1 years experience. Skilled in JavaScript, HTML, Docker, TensorFlow, C++, React. Education: MCA.",1,Backend Developer,"JavaScript, HTML, Docker, TensorFlow, C++, React",MCA,1
"DevOps Engineer with 3 years experience. Skilled in Git, Java, React, Flask, Data Analysis, HTML. Education: M.Tech.",3,DevOps Engineer,"Git, Java, React, Flask, Data Analysis, HTML",M.Tech,0
"Backend Developer with 4 years experience. Skilled in Node.js, Pandas, Java, Git, Data Analysis, Kubernetes, TensorFlow, CSS. Education: MCA.",4,Backend Developer,"Node.js, Pandas, Java, Git, Data Analysis, Kubernetes, TensorFlow, CSS",MCA,0
"Web Developer with 4 years experience. Skilled in Django, Node.js, Data Analysis, JavaScript, NumPy. Education: M.Tech.",4,Web Developer,"Django, Node.js, Data Analysis, JavaScript, NumPy",M.Tech,1
"DevOps Engineer with 0 years experience. Skilled in CSS, Flask, Pandas, React, TensorFlow, HTML. Education: BCA.",0,DevOps Engineer,"CSS, Flask, Pandas, React, TensorFlow, HTML",BCA,0
"Data Scientist with 2 years experience. Skilled in AWS, TensorFlow, JavaScript, PyTorch, Node.js, Data Analysis. Education: B.Tech.",2,Data Scientist,"AWS, TensorFlow, JavaScript, PyTorch, Node.js, Data Analysis",B.Tech,1
"Frontend Developer with 4 years experience. Skilled in JavaScript, React, Data Analysis, Deep Learning, Docker, Flask, CSS, SQL. Education: BCA.",4,Frontend Developer,"JavaScript, React, Data Analysis, Deep Learning, Docker, Flask, CSS, SQL",BCA,1
"Web Developer with 4 years experience. Skilled in React, Flask, Python, CSS, Data Analysis, Kubernetes. Education: B.Sc Computer Science.",4,Web Developer,"React, Flask, Python, CSS, Data Analysis, Kubernetes",B.Sc Computer Science,1
"Frontend Developer with 1 years experience. Skilled in Python, Git, Deep Learning, Java, Pandas, JavaScript. Education: MCA.",1,Frontend Developer,"Python, Git, Deep Learning, Java, Pandas, JavaScript",MCA,1
"Backend Developer with 4 years experience. Skilled in Deep Learning, HTML, Kubernetes, TensorFlow. Education: B.Sc Computer Science.",4,Backend Developer,"Deep Learning, HTML, Kubernetes, TensorFlow",B.Sc Computer Science,0
"Machine Learning Engineer with 4 years experience. Skilled in Java, CSS, NumPy, AWS, Machine Learning. Education: M.Tech.",4,Machine Learning Engineer,"Java, CSS, NumPy, AWS, Machine Learning",M.Tech,0
"DevOps Engineer with 7 years experience. Skilled in Java, Machine Learning, AWS, Flask, TensorFlow. Education: B.Tech.",7,DevOps Engineer,"Java, Machine Learning, AWS, Flask, TensorFlow",B.Tech,0
"DevOps Engineer with 3 years experience. Skilled in SQL, JavaScript, Docker, PyTorch. Education: B.Sc Computer Science.",3,DevOps Engineer,"SQL, JavaScript, Docker, PyTorch",B.Sc Computer Science,1
"Backend Developer with 2 years experience. Skilled in SQL, Python, PyTorch, NumPy. Education: BCA.",2,Backend Developer,"SQL, Python, PyTorch, NumPy",BCA,1
"Backend Developer with 2 years experience. Skilled in PyTorch, Django, HTML, SQL, Git. Education: B.Tech.",2,Backend Developer,"PyTorch, Django, HTML, SQL, Git",B.Tech,0
"Web Developer with 0 years experience. Skilled in Git, Pandas, Java, Kubernetes. Education: MCA.",0,Web Developer,"Git, Pandas, Java, Kubernetes",MCA,0
"Web Developer with 0 years experience. Skilled in Docker, NumPy, AWS, C++, Data Analysis, Python. Education: B.Tech.",0,Web Developer,"Docker, NumPy, AWS, C++, Data Analysis, Python",B.Tech,0
"DevOps Engineer with 4 years experience. Skilled in React, Python, C++, HTML. Education: MCA.",4,DevOps Engineer,"React, Python, C++, HTML",MCA,1
"Data Scientist with 6 years experience. Skilled in Machine Learning, TensorFlow, CSS, AWS, SQL, NumPy, Flask. Education: M.Tech.",6,Data Scientist,"Machine Learning, TensorFlow, CSS, AWS, SQL, NumPy, Flask",M.Tech,0
"Backend Developer with 3 years experience. Skilled in Pandas, AWS, Django, Python, PyTorch, Docker. Education: M.Tech.",3,Backend Developer,"Pandas, AWS, Django, Python, PyTorch, Docker",M.Tech,1
"Data Scientist with 4 years experience. Skilled in C++, PyTorch, Python, Node.js, AWS, React. Education: MCA.",4,Data Scientist,"C++, PyTorch, Python, Node.js, AWS, React",MCA,1
"Data Scientist with 6 years experience. Skilled in Deep Learning, Pandas, Machine Learning, Data Analysis, JavaScript, HTML, Kubernetes, NumPy. Education: B.Sc Computer Science.",6,Data Scientist,"Deep Learning, Pandas, Machine Learning, Data Analysis, JavaScript, HTML, Kubernetes, NumPy",B.Sc Computer Science,1
"DevOps Engineer with 5 years experience. Skilled in React, HTML, JavaScript, C++, Python, Git, Data Analysis. Education: B.Tech.",5,DevOps Engineer,"React, HTML, JavaScript, C++, Python, Git, Data Analysis",B.Tech,1
"Frontend Developer with 0 years experience. Skilled in PyTorch, C++, Pandas, Java, React. Education: B.Tech.",0,Frontend Developer,"PyTorch, C++, Pandas, Java, React",B.Tech,0
"Machine Learning Engineer with 6 years experience. Skilled in Git, NumPy, JavaScript, C++. Education: M.Tech.",6,Machine Learning Engineer,"Git, NumPy, JavaScript, C++",M.Tech,1
"Web Developer with 6 years experience. Skilled in NumPy, React, C++, Java, SQL, Machine Learning. Education: BCA.",6,Web Developer,"NumPy, React, C++, Java, SQL, Machine Learning",BCA,0
"Machine Learning Engineer with 0 years experience. Skilled in Java, SQL, Data Analysis, TensorFlow, Django, Machine Learning. Education: B.Sc Computer Science.",0,Machine Learning Engineer,"Java, SQL, Data Analysis, TensorFlow, Django, Machine Learning",B.Sc Computer Science,0
"Web Developer with 3 years experience. Skilled in Java, Docker, Deep Learning, Flask, Git. Education: BCA.",3,Web Developer,"Java, Docker, Deep Learning, Flask, Git",BCA,0
"Web Developer with 4 years experience. Skilled in Data Analysis, AWS, Docker, Python. Education: BCA.",4,Web Developer,"Data Analysis, AWS, Docker, Python",BCA,1
"Machine Learning Engineer with 6 years experience. Skilled in Flask, Django, Data Analysis, SQL, Deep Learning. Education: B.Tech.",6,Machine Learning Engineer,"Flask, Django, Data Analysis, SQL, Deep Learning",B.Tech,0
"Frontend Developer with 7 years experience. Skilled in React, AWS, HTML, CSS, SQL. Education: B.Tech.",7,Frontend Developer,"React, AWS, HTML, CSS, SQL",B.Tech,0
"Backend Developer with 0 years experience. Skilled in Kubernetes, AWS, Django, Java, CSS, C++, NumPy. Education: B.Sc Computer Science.",0,Backend Developer,"Kubernetes, AWS, Django, Java, CSS, C++, NumPy",B.Sc Computer Science,0
"Web Developer with 6 years experience. Skilled in SQL, HTML, Deep Learning, CSS, Python, Machine Learning. Education: B.Tech.",6,Web Developer,"SQL, HTML, Deep Learning, CSS, Python, Machine Learning",B.Tech,1
"Frontend Developer with 4 years experience. Skilled in CSS, Kubernetes, React, Django, Git. Education: M.Tech.",4,Frontend Developer,"CSS, Kubernetes, React, Django, Git",M.Tech,0
"Web Developer with 7 years experience. Skilled in HTML, Django, Machine Learning, TensorFlow, Kubernetes. Education: B.Tech.",7,Web Developer,"HTML, Django, Machine Learning, TensorFlow, Kubernetes",B.Tech,0
"Backend Developer with 3 years experience. Skilled in React, JavaScript, Kubernetes, AWS, NumPy, CSS. Education: MCA.",3,Backend Developer,"React, JavaScript, Kubernetes, AWS, NumPy, CSS",MCA,1
"Web Developer with 1 years experience. Skilled in NumPy, Python, Kubernetes, C++, Java. Education: B.Sc Computer Science.",1,Web Developer,"NumPy, Python, Kubernetes, C++, Java",B.Sc Computer Science,1
"Backend Developer with 1 years experience. Skilled in C++, Node.js, Python, Pandas, HTML, Django. Education: MCA.",1,Backend Developer,"C++, Node.js, Python, Pandas, HTML, Django",MCA,1
"Web Developer with 7 years experience. Skilled in Data Analysis, AWS, TensorFlow, Deep Learning. Education: MCA.",7,Web Developer,"Data Analysis, AWS, TensorFlow, Deep Learning",MCA,0
"Machine Learning Engineer with 0 years experience. Skilled in PyTorch, Python, Data Analysis, Java, Flask, Node.js. Education: BCA.",0,Machine Learning Engineer,"PyTorch, Python, Data Analysis, Java, Flask, Node.js",BCA,0
"Frontend Developer with 3 years experience. Skilled in Node.js, Python, Deep Learning, Flask, HTML, SQL, C++, AWS. Education: B.Sc Computer Science.",3,Frontend Developer,"Node.js, Python, Deep Learning, Flask, HTML, SQL, C++, AWS",B.Sc Computer Science,1
"Machine Learning Engineer with 2 years experience. Skilled in Git, Deep Learning, AWS, Flask, Data Analysis, JavaScript. Education: BCA.",2,Machine Learning Engineer,"Git, Deep Learning, AWS, Flask, Data Analysis, JavaScript",BCA,1
"Data Scientist with 7 years experience. Skilled in AWS, React, Flask, TensorFlow, HTML, Kubernetes, Data Analysis, C++. Education: B.Sc Computer Science.",7,Data Scientist,"AWS, React, Flask, TensorFlow, HTML, Kubernetes, Data Analysis, C++",B.Sc Computer Science,0
"Machine Learning Engineer with 3 years experience. Skilled in Kubernetes, Deep Learning, Docker, NumPy, SQL, Pandas, Python. Education: M.Tech.",3,Machine Learning Engineer,"Kubernetes, Deep Learning, Docker, NumPy, SQL, Pandas, Python",M.Tech,1
"Data Scientist with 5 years experience. Skilled in Deep Learning, AWS, Node.js, TensorFlow, Pandas, C++. Education: MCA.",5,Data Scientist,"Deep Learning, AWS, Node.js, TensorFlow, Pandas, C++",MCA,0
"Data Scientist with 2 years experience. Skilled in Deep Learning, React, PyTorch, SQL, JavaScript, Pandas. Education: MCA.",2,Data Scientist,"Deep Learning, React, PyTorch, SQL, JavaScript, Pandas",MCA,1
"Frontend Developer with 2 years experience. Skilled in Django, Git, NumPy, JavaScript, Machine Learning, React, Kubernetes. Education: B.Tech.",2,Frontend Developer,"Django, Git, NumPy, JavaScript, Machine Learning, React, Kubernetes",B.Tech,1
"DevOps Engineer with 7 years experience. Skilled in Git, Java, Deep Learning, Docker, Python. Education: B.Tech.",7,DevOps Engineer,"Git, Java, Deep Learning, Docker, Python",B.Tech,1
"Backend Developer with 0 years experience. Skilled in NumPy, Machine Learning, Flask, Python, PyTorch, Node.js. Education: M.Tech.",0,Backend Developer,"NumPy, Machine Learning, Flask, Python, PyTorch, Node.js",M.Tech,0
"Backend Developer with 3 years experience. Skilled in Docker, CSS, NumPy, AWS, Pandas. Education: M.Tech.",3,Backend Developer,"Docker, CSS, NumPy, AWS, Pandas",M.Tech,0
"DevOps Engineer with 5 years experience. Skilled in Pandas, HTML, JavaScript, Git, Node.js, Python, TensorFlow. Education: B.Sc Computer Science.",5,DevOps Engineer,"Pandas, HTML, JavaScript, Git, Node.js, Python, TensorFlow",B.Sc Computer Science,1
"Web Developer with 6 years experience. Skilled in C++, HTML, Kubernetes, React, Deep Learning, Machine Learning. Education: M.Tech.",6,Web Developer,"C++, HTML, Kubernetes, React, Deep Learning, Machine Learning",M.Tech,0
"Machine Learning Engineer with 1 years experience. Skilled in CSS, Machine Learning, PyTorch, React. Education: B.Sc Computer Science.",1,Machine Learning Engineer,"CSS, Machine Learning, PyTorch, React",B.Sc Computer Science,0
"Machine Learning Engineer with 1 years experience. Skilled in Data Analysis, Django, Node.js, C++, Flask, SQL, HTML, AWS. Education: M.Tech.",1,Machine Learning Engineer,"Data Analysis, Django, Node.js, C++, Flask, SQL, HTML, AWS",M.Tech,0
"Frontend Developer with 6 years experience. Skilled in Flask, CSS, TensorFlow, SQL, Git, Docker. Education: BCA.",6,Frontend Developer,"Flask, CSS, TensorFlow, SQL, Git, Docker",BCA,0
"Frontend Developer with 0 years experience. Skilled in Git, NumPy, Java, HTML. Education: MCA.",0,Frontend Developer,"Git, NumPy, Java, HTML",MCA,0
"Data Scientist with 1 years experience. Skilled in JavaScript, Deep Learning, TensorFlow, PyTorch, NumPy, Django, Node.js. Education: B.Tech.",1,Data Scientist,"JavaScript, Deep Learning, TensorFlow, PyTorch, NumPy, Django, Node.js",B.Tech,1
"Data Scientist with 2 years experience. Skilled in Pandas, Docker, Java, Kubernetes, Python, Flask, AWS. Education: BCA.",2,Data Scientist,"Pandas, Docker, Java, Kubernetes, Python, Flask, AWS",BCA,1
"Machine Learning Engineer with 0 years experience. Skilled in Flask, CSS, HTML, PyTorch, Deep Learning. Education: BCA.",0,Machine Learning Engineer,"Flask, CSS, HTML, PyTorch, Deep Learning",BCA,0
"Machine Learning Engineer with 0 years experience. Skilled in TensorFlow, Deep Learning, AWS, Python, Pandas, SQL. Education: B.Tech.",0,Machine Learning Engineer,"TensorFlow, Deep Learning, AWS, Python, Pandas, SQL",B.Tech,0
"Web Developer with 1 years experience. Skilled in Kubernetes, Node.js, Git, CSS, C++, Data Analysis. Education: B.Tech.",1,Web Developer,"Kubernetes, Node.js, Git, CSS, C++, Data Analysis",B.Tech,0
"DevOps Engineer with 4 years experience. Skilled in Machine Learning, PyTorch, Docker, JavaScript, Pandas. Education: M.Tech.",4,DevOps Engineer,"Machine Learning, PyTorch, Docker, JavaScript, Pandas",M.Tech,1
"Backend Developer with 7 years experience. Skilled in PyTorch, CSS, SQL, Node.js, JavaScript. Education: BCA.",7,Backend Developer,"PyTorch, CSS, SQL, Node.js, JavaScript",BCA,1
"Frontend Developer with 3 years experience. Skilled in CSS, Kubernetes, Deep Learning, AWS, Flask. Education: MCA.",3,Frontend Developer,"CSS, Kubernetes, Deep Learning, AWS, Flask",MCA,0
"Frontend Developer with 1 years experience. Skilled in Git, Machine Learning, Docker, Deep Learning. Education: BCA.",1,Frontend Developer,"Git, Machine Learning, Docker, Deep Learning",BCA,0
"Web Developer with 1 years experience. Skilled in Docker, Deep Learning, Node.js, Kubernetes, CSS, SQL, Git. Education: MCA.",1,Web Developer,"Docker, Deep Learning, Node.js, Kubernetes, CSS, SQL, Git",MCA,0
"Web Developer with 2 years experience. Skilled in HTML, C++, Git, Pandas, Kubernetes, CSS, Java, TensorFlow. Education: BCA.",2,Web Developer,"HTML, C++, Git, Pandas, Kubernetes, CSS, Java, TensorFlow",BCA,0
"Web Developer with 5 years experience. Skilled in NumPy, AWS, Data Analysis, TensorFlow. Education: BCA.",5,Web Developer,"NumPy, AWS, Data Analysis, TensorFlow",BCA,0
"DevOps Engineer with 5 years experience. Skilled in Pandas, Docker, Flask, NumPy, SQL. Education: B.Tech.",5,DevOps Engineer,"Pandas, Docker, Flask, NumPy, SQL",B.Tech,0
"Backend Developer with 7 years experience. Skilled in Node.js, Pandas, NumPy, Python, AWS, Flask, Django. Education: BCA.",7,Backend Developer,"Node.js, Pandas, NumPy, Python, AWS, Flask, Django",BCA,1
"Backend Developer with 6 years experience. Skilled in Flask, SQL, Node.js, HTML, Kubernetes, TensorFlow, Java, C++. Education: BCA.",6,Backend Developer,"Flask, SQL, Node.js, HTML, Kubernetes, TensorFlow, Java, C++",BCA,0
"Frontend Developer with 1 years experience. Skilled in Pandas, Python, SQL, Docker, Flask, Data Analysis. Education: BCA.",1,Frontend Developer,"Pandas, Python, SQL, Docker, Flask, Data Analysis",BCA,1
"Frontend Developer with 4 years experience. Skilled in JavaScript, HTML, React, PyTorch, Deep Learning. Education: M.Tech.",4,Frontend Developer,"JavaScript, HTML, React, PyTorch, Deep Learning",M.Tech,1
"DevOps Engineer with 2 years experience. Skilled in TensorFlow, PyTorch, Machine Learning, JavaScript, Git, Deep Learning, Pandas. Education: BCA.",2,DevOps Engineer,"TensorFlow, PyTorch, Machine Learning, JavaScript, Git, Deep Learning, Pandas",BCA,1
"DevOps Engineer with 0 years experience. Skilled in Deep Learning, Python, NumPy, SQL, Pandas, Java, Flask, Kubernetes. Education: BCA.",0,DevOps Engineer,"Deep Learning, Python, NumPy, SQL, Pandas, Java, Flask, Kubernetes",BCA,0
"Web Developer with 7 years experience. Skilled in Machine Learning, React, Git, Docker, Data Analysis, Pandas. Education: M.Tech.",7,Web Developer,"Machine Learning, React, Git, Docker, Data Analysis, Pandas",M.Tech,0
"Frontend Developer with 5 years experience. Skilled in Docker, JavaScript, TensorFlow, AWS, HTML, React, Python. Education: M.Tech.",5,Frontend Developer,"Docker, JavaScript, TensorFlow, AWS, HTML, React, Python",M.Tech,1
"Machine Learning Engineer with 6 years experience. Skilled in NumPy, Machine Learning, HTML, Flask, PyTorch, Docker, Python, Deep Learning. Education: BCA.",6,Machine Learning Engineer,"NumPy, Machine Learning, HTML, Flask, PyTorch, Docker, Python, Deep Learning",BCA,1
"Backend Developer with 4 years experience. Skilled in Docker, Machine Learning, TensorFlow, JavaScript. Education: B.Sc Computer Science.",4,Backend Developer,"Docker, Machine Learning, TensorFlow, JavaScript",B.Sc Computer Science,1
"Data Scientist with 2 years experience. Skilled in HTML, TensorFlow, React, PyTorch, Java, Deep Learning. Education: B.Tech.",2,Data Scientist,"HTML, TensorFlow, React, PyTorch, Java, Deep Learning",B.Tech,0
"Frontend Developer with 3 years experience. Skilled in NumPy, Java, Flask, React, Deep Learning, Docker, CSS. Education: B.Tech.",3,Frontend Developer,"NumPy, Java, Flask, React, Deep Learning, Docker, CSS",B.Tech,0
"Web Developer with 5 years experience. Skilled in Python, AWS, Node.js, Pandas. Education: B.Sc Computer Science.",5,Web Developer,"Python, AWS, Node.js, Pandas",B.Sc Computer Science,1
"Machine Learning Engineer with 7 years experience. Skilled in Pandas, Node.js, Python, Django, React, AWS, NumPy. Education: M.Tech.",7,Machine Learning Engineer,"Pandas, Node.js, Python, Django, React, AWS, NumPy",M.Tech,1
